Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Oval,,E,VS1,1.06,1.45,62.8,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.29,5.73,3.6,1030,IGI Lab-Grown,
Radiant,,D,VS1,1.0,1.27,67.0,67.0,Excellent,Excellent,Thin to Thick,,6.53,5.13,3.44,4700,GIA,
Marquise,,D,VS1,1.01,2.07,63.7,59.0,Excellent,Excellent,Medium to Thick,Pointed,10.68,5.15,3.28,1100,IGI Lab-Grown,
Radiant,,G,VS1,1.01,1.2,67.5,67.0,Very Good,Very Good,Thick,,6.12,5.1,3.45,3810,GIA,
Heart,,E,VS1,1.45,1.15,54.7,64.0,Excellent,Excellent,Thin to Medium,Pointed,7.06,8.1,4.43,1800,IGI Lab-Grown,
Pear,,D,VS1,1.0,1.56,64.4,65.0,Excellent,Very Good,Thin to Extremely Thick,,8.4,5.39,3.47,3520,GIA,Medium
Marquise,,D,VS1,2.01,1.92,62.2,60.0,Excellent,Very Good,Thick to Very Thick,,12.71,6.63,4.13,29590,GIA,
Princess,Very Good,G,VS2,1.02,1.01,73.6,76.0,Excellent,Excellent,Slightly Thick to Thick,,5.6,5.53,4.07,3180,GIA,
Princess,Ideal,G,VVS2,1.01,1.0,74.3,73.0,Very Good,Very Good,Thick,,5.54,5.52,4.11,3210,GIA,Faint
Radiant,,G,VS1,1.09,1.0,70.3,59.0,Very Good,Good,Medium to Extremely Thick,,5.89,5.89,4.14,5390,GIA,
Marquise,,D,IF,1.51,1.97,61.8,62.0,Excellent,Very Good,Thick to Very Thick,,11.68,5.93,3.66,17410,GIA,Strong
Marquise,,D,VS1,1.07,1.96,62.7,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.61,5.41,3.39,1170,IGI Lab-Grown,
Round,Excellent,G,VS2,1.06,1.01,62.6,57.0,Excellent,Excellent,Medium to Slightly Thick,,6.48,6.52,4.07,1170,GIA,Medium
Pear,,D,VS2,1.01,1.58,63.0,57.0,Very Good,Excellent,Slightly Thick to Thick,,8.69,5.5,3.46,3460,GIA,Strong
Princess,Ideal,E,VVS2,1.03,1.01,69.6,69.0,Excellent,Excellent,Medium,Pointed,5.56,5.52,3.84,1200,IGI Lab-Grown,
Radiant,,F,VS1,1.01,1.47,67.5,62.0,Excellent,Excellent,Medium,Pointed,7.3,4.95,3.34,1050,IGI Lab-Grown,
Princess,Ideal,H,VS1,1.0,1.0,72.3,70.0,Excellent,Excellent,Slightly Thick to Thick,,5.39,5.38,3.89,2900,GIA,
Princess,Ideal,D,VS1,1.06,1.01,73.5,70.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.44,5.4,3.97,1140,IGI Lab-Grown,
Marquise,,E,VS1,1.08,1.97,60.5,63.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.61,5.39,3.26,1090,IGI Lab-Grown,
Heart,,F,VVS2,1.63,1.13,54.7,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.37,8.35,4.57,2450,IGI Lab-Grown,
Heart,,E,VS1,1.55,1.13,53.5,64.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.28,8.25,4.41,1990,IGI Lab-Grown,
Marquise,,H,VS2,1.04,1.9,62.3,63.0,Excellent,Excellent,Slightly Thick to Very Thick,,10.19,5.36,3.34,4610,GIA,Faint
Round,Ideal,E,VS1,1.57,1.0,61.1,58.0,Excellent,Excellent,Medium,Pointed,7.47,7.5,4.58,1820,IGI Lab-Grown,
Marquise,,H,VS2,1.01,1.8,63.6,57.0,Excellent,Excellent,Thin to Thick,,9.72,5.4,3.43,3650,GIA,
Marquise,,D,VVS2,1.0,1.96,58.1,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.51,5.35,3.11,1500,IGI Lab-Grown,
Radiant,,F,VS1,1.24,1.42,68.3,66.0,Excellent,Excellent,Medium,Pointed,7.48,5.27,3.6,1260,IGI Lab-Grown,
Princess,Ideal,H,VVS1,1.0,1.01,72.2,72.0,Excellent,Excellent,Slightly Thick to Thick,,5.46,5.4,3.9,3200,GIA,
Oval,,F,VS2,1.01,1.47,64.0,60.0,Excellent,Excellent,Slightly Thick to Thick,,8.03,5.46,3.49,4730,GIA,
Round,Excellent,H,VS2,1.1,1.01,60.1,59.0,Excellent,Excellent,Medium to Slightly Thick,,6.67,6.72,4.02,4110,GIA,
Radiant,,F,VS1,1.25,1.45,66.8,65.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.69,5.3,3.54,1190,IGI Lab-Grown,
Princess,Very Good,G,VS2,1.11,1.05,66.2,76.0,Very Good,Good,Very Thin to Very Thick,,6.14,5.86,3.88,3580,GIA,
Marquise,,D,VVS1,1.02,1.98,58.8,60.0,Excellent,Excellent,Thick,,10.58,5.35,3.15,7810,GIA,
Oval,,F,VS1,1.0,1.35,63.5,64.0,Excellent,Very Good,Medium to Thick,,7.63,5.67,3.6,4760,GIA,
Marquise,,D,VS2,2.07,2.01,62.7,58.0,Excellent,Excellent,Medium to Thick,,13.3,6.61,4.14,4760,GIA,
Square Radiant,,H,VVS1,1.04,1.0,72.4,55.0,Excellent,Excellent,Medium to Very Thick,,5.73,5.72,4.14,4740,GIA,Medium
Pear,,H,VS2,1.02,1.54,60.8,60.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.8,5.71,3.47,4000,GIA,Faint
Oval,,E,VS2,1.0,1.49,63.7,54.0,Very Good,Excellent,Slightly Thick to Very Thick,,8.14,5.45,3.47,3730,GIA,Strong
Heart,,E,VS1,1.0,1.17,61.4,56.0,Excellent,Excellent,Slightly Thick to Very Thick,,5.85,6.85,4.2,4920,GIA,
Round,Ideal,D,VS1,1.59,1.0,60.9,58.0,Excellent,Excellent,Medium,Pointed,7.5,7.53,4.58,1860,IGI Lab-Grown,
Oval,,D,VS1,1.01,1.4,62.7,61.0,Excellent,Excellent,Slightly Thick to Thick,,7.93,5.65,3.55,5180,GIA,Faint
Marquise,,D,VVS2,1.03,2.06,59.4,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.0,5.34,3.17,1320,IGI Lab-Grown,
Cushion,Ideal,D,VVS2,1.46,1.02,66.4,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.61,6.49,4.31,2690,IGI Lab-Grown,
Pear,,E,VS1,1.08,1.65,60.8,62.0,Excellent,Very Good,Thin to Slightly Thick,Pointed,9.45,5.72,3.48,1030,IGI Lab-Grown,
Radiant,,F,VS1,1.08,1.43,66.7,63.0,Excellent,Excellent,Medium,Pointed,7.23,5.07,3.38,1110,IGI Lab-Grown,
Round,Excellent,H,VS1,1.02,1.01,61.7,58.0,Excellent,Excellent,Slightly Thick,,6.4,6.44,3.96,3850,GIA,Faint
Heart,,D,VS1,1.01,1.18,60.8,61.0,Excellent,Excellent,Slightly Thick to Thick,,5.87,6.93,4.21,5470,GIA,
Oval,,E,VS1,1.09,1.48,63.9,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.48,5.74,3.67,1060,IGI Lab-Grown,
Princess,Ideal,E,VS1,1.09,1.01,72.4,67.0,Excellent,Excellent,Medium,Pointed,5.68,5.61,4.06,1080,IGI Lab-Grown,
Marquise,,E,VVS2,1.05,1.96,62.9,56.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.47,5.33,3.35,1230,IGI Lab-Grown,
Oval,,G,VS1,1.0,1.37,61.5,65.0,Excellent,Very Good,Thick to Very Thick,,7.85,5.72,3.52,4450,GIA,
Oval,,E,VS1,1.06,1.43,63.0,61.0,Excellent,Excellent,Medium,Pointed,8.18,5.73,3.61,1030,IGI Lab-Grown,
Oval,,F,VS2,1.01,1.39,63.9,60.0,Excellent,Excellent,Medium to Very Thick,,7.67,5.53,3.53,4720,GIA,
Princess,Ideal,D,VS1,1.03,1.01,73.5,72.0,Excellent,Very Good,Thick,,5.53,5.5,4.04,4250,GIA,Medium
Heart,,D,VS2,1.21,1.15,55.4,65.0,Excellent,Very Good,Slightly Thick to Very Thick,,6.45,7.39,4.1,5760,GIA,
Pear,,H,VVS2,1.0,1.47,65.3,57.0,Excellent,Excellent,Slightly Thick to Extremely Thick,,8.17,5.55,3.62,3080,GIA,Faint
Cushion Modified,Ideal,D,VS1,1.56,1.03,64.9,63.5,Excellent,Excellent,Medium to Thick,Pointed,7.04,6.84,4.44,2130,IGI Lab-Grown,
Round,Excellent,H,VS2,1.0,1.01,62.9,57.0,Excellent,Excellent,Medium,,6.35,6.4,4.01,3820,GIA,
Oval,,E,VS1,1.05,1.49,61.8,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.48,5.7,3.52,1030,IGI Lab-Grown,
Emerald,,D,VS2,1.0,1.37,65.9,68.0,Excellent,Very Good,Thin to Slightly Thick,,6.67,4.87,3.21,2940,GIA,Medium
Round,Excellent,H,VS1,1.0,1.01,63.1,55.0,Excellent,Excellent,Medium to Slightly Thick,,6.31,6.35,4.0,3970,GIA,Faint
Princess,Ideal,G,VS2,1.01,1.0,73.5,74.0,Excellent,Very Good,Thick to Very Thick,,5.43,5.41,3.98,3890,GIA,
Radiant,,D,VS1,1.02,1.4,68.4,69.0,Excellent,Excellent,Medium,Pointed,7.2,5.13,3.51,1090,IGI Lab-Grown,
Radiant,,H,VS1,1.02,1.33,64.9,65.0,Excellent,Excellent,Medium to Slightly Thick,,6.8,5.12,3.32,4080,GIA,Faint
Pear,,D,VVS2,1.0,1.55,63.9,61.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.55,5.51,3.52,4810,GIA,Faint
Radiant,,H,VVS2,1.05,1.07,71.2,66.0,Excellent,Excellent,Slightly Thick to Thick,,5.76,5.37,3.82,3470,GIA,Faint
Oval,,D,VS1,1.02,1.4,59.7,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.1,5.8,3.46,1080,IGI Lab-Grown,
Pear,,G,IF,1.01,1.69,58.3,60.0,Excellent,Excellent,Medium to Thick,,9.31,5.51,3.21,4530,GIA,Faint
Marquise,,D,VS1,1.01,1.89,64.9,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.86,5.21,3.38,1100,IGI Lab-Grown,
Princess,Ideal,E,VS2,1.02,1.01,74.5,69.0,Excellent,Excellent,Thick to Very Thick,,5.51,5.43,4.04,4300,GIA,Faint
Pear,,D,VS1,1.02,1.55,59.4,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.92,5.77,3.43,1110,IGI Lab-Grown,
Pear,,E,VS1,1.05,1.61,62.4,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.11,5.67,3.54,1060,IGI Lab-Grown,
Oval,,E,VS1,1.04,1.44,62.3,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.22,5.7,3.55,1020,IGI Lab-Grown,
Cushion,Ideal,F,VVS2,1.58,1.02,67.3,63.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.75,6.63,4.46,2300,IGI Lab-Grown,
Cushion,Ideal,D,VVS2,2.0,1.01,66.7,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.38,7.33,4.89,6930,IGI Lab-Grown,
Oval,,D,VS2,1.01,1.45,63.6,63.0,Excellent,Very Good,Thick to Very Thick,,8.0,5.52,3.51,5130,GIA,
Cushion Modified,Very Good,H,VS2,1.0,1.09,68.0,60.0,Excellent,Very Good,Slightly Thick to Very Thick,,5.82,5.34,3.63,2260,GIA,
Heart,,D,VVS1,1.01,1.17,58.8,58.0,Excellent,Very Good,Medium to Very Thick,,5.98,7.02,4.13,9280,GIA,
Marquise,,D,VS1,1.01,1.95,64.0,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.1,5.17,3.31,1100,IGI Lab-Grown,
Radiant,,D,VS2,1.02,1.43,66.0,66.0,Excellent,Excellent,Slightly Thick to Thick,,7.28,5.08,3.35,5500,GIA,
Heart,,F,VS1,1.01,1.2,55.4,60.0,Very Good,Very Good,Thick to Very Thick,,5.8,6.98,3.86,4060,GIA,
Princess,Ideal,F,VVS2,1.0,1.01,72.7,70.0,Very Good,Very Good,Slightly Thick to Thick,,5.42,5.38,3.91,3750,GIA,
Marquise,,E,VVS2,1.12,1.8,62.9,58.0,Excellent,Excellent,Medium to Thick,Pointed,10.14,5.63,3.54,1300,IGI Lab-Grown,
Marquise,,G,VS2,1.2,1.86,65.9,58.0,Excellent,Very Good,Slightly Thick to Very Thick,,10.26,5.52,3.64,6990,GIA,Faint
Marquise,,D,VS1,1.04,1.95,63.7,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.34,5.31,3.38,1140,IGI Lab-Grown,
Oval,,D,VS1,1.01,1.41,62.5,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.0,5.66,3.54,1070,IGI Lab-Grown,
Heart,,D,VVS2,1.55,1.08,57.8,57.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.42,7.98,4.61,2620,IGI Lab-Grown,
Heart,,E,VS1,1.59,1.14,53.8,61.0,Excellent,Excellent,Slightly Thick to Very Thick,Pointed,7.27,8.31,4.47,2040,IGI Lab-Grown,
Radiant,,F,VVS2,1.01,1.24,68.9,68.0,Excellent,Very Good,Slightly Thick to Thick,,6.25,5.03,3.46,4180,GIA,
Marquise,,D,VVS2,1.06,2.25,63.2,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.45,5.08,3.21,1370,IGI Lab-Grown,
Marquise,,D,VS2,1.0,1.76,65.4,61.0,Excellent,Very Good,Thick to Very Thick,,9.26,5.25,3.44,5110,GIA,
Oval,,F,VS2,1.0,1.4,64.5,58.0,Excellent,Very Good,Slightly Thick to Thick,,7.88,5.61,3.62,4570,GIA,Faint
Princess,Ideal,D,VS1,1.0,1.05,72.1,65.0,Excellent,Excellent,Medium,Pointed,5.6,5.35,3.86,1080,IGI Lab-Grown,
Radiant,,H,VVS1,1.22,1.31,68.4,66.0,Excellent,Very Good,Very Thick,,6.87,5.25,3.59,4780,GIA,
Radiant,,E,VS1,1.09,1.41,65.8,65.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.26,5.14,3.38,1080,IGI Lab-Grown,
Heart,,G,VS2,1.01,1.06,57.3,56.0,Very Good,Very Good,Slightly Thick to Very Thick,,6.4,6.81,3.9,4230,GIA,Strong
Heart,,D,VS2,1.0,1.2,59.6,61.0,Excellent,Excellent,Thick to Very Thick,,5.88,7.03,4.18,4990,GIA,
Princess,Ideal,H,VS2,1.01,1.0,72.7,72.0,Excellent,Excellent,Slightly Thick to Very Thick,,5.4,5.39,3.91,3230,GIA,
Emerald,,H,VS2,1.0,1.38,68.2,65.0,Excellent,Excellent,Thick,,6.6,4.78,3.26,2500,GIA,
Heart,,G,VS2,1.01,1.13,55.8,62.0,Excellent,Very Good,Slightly Thick to Thick,,6.3,7.15,3.99,3990,GIA,
Square Radiant,,H,VVS1,1.02,1.0,72.2,55.0,Excellent,Excellent,Medium to Very Thick,,5.71,5.7,4.11,4650,GIA,Faint
Marquise,,D,VS1,1.05,1.96,61.5,59.0,Excellent,Excellent,Thin to Slightly Thick,Pointed,10.55,5.38,3.31,1150,IGI Lab-Grown,
Radiant,,E,VS2,1.01,1.26,69.7,67.0,Excellent,Excellent,Thick to Very Thick,,6.33,5.02,3.5,3790,GIA,
Princess,Very Good,G,VVS2,1.0,1.02,76.6,73.0,Very Good,Good,Very Thick,,5.32,5.21,4.0,3320,GIA,Faint
Marquise,,G,VVS1,2.16,1.96,62.0,59.0,Excellent,Excellent,Slightly Thick to Thick,,13.31,6.79,4.21,24140,GIA,
Radiant,,F,VS2,1.01,1.27,68.4,68.0,Excellent,Excellent,Thick to Very Thick,,6.36,5.0,3.42,3190,GIA,
Pear,,H,VS2,1.01,1.66,58.3,59.0,Excellent,Excellent,Medium to Very Thick,,9.33,5.62,3.28,3830,GIA,
Round,Very Good,D,VS2,1.0,1.01,64.7,55.0,Excellent,Very Good,Medium to Thick,,6.15,6.22,4.0,3960,GIA,Strong
Radiant,,G,VS2,1.01,1.35,69.7,68.0,Excellent,Excellent,Slightly Thick to Thick,,6.78,5.03,3.51,3060,GIA,
Oval,,E,VS1,1.08,1.43,63.6,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.24,5.77,3.67,1050,IGI Lab-Grown,
Heart,,G,VS1,1.05,1.18,57.8,60.0,Excellent,Excellent,Slightly Thick to Thick,,6.08,7.16,4.14,5580,GIA,
Princess,Ideal,D,VS1,1.06,1.0,71.1,68.0,Excellent,Excellent,Medium,Pointed,5.54,5.53,3.93,1140,IGI Lab-Grown,
Marquise,,E,VVS2,1.02,2.04,61.5,61.0,Excellent,Excellent,Thin to Medium,Pointed,10.77,5.27,3.24,1320,IGI Lab-Grown,
Heart,,F,VS1,1.7,1.15,59.2,60.0,Excellent,Excellent,Thick to Very Thick,,7.19,8.26,4.88,9190,GIA,Medium
Heart,,E,VVS2,1.1,1.11,60.5,60.0,Excellent,Excellent,Slightly Thick to Thick,,6.38,7.07,4.28,4880,GIA,Faint
Emerald,,G,VS2,1.0,1.3,70.8,67.0,Excellent,Very Good,Thick to Very Thick,,6.31,4.84,3.43,2910,GIA,
Marquise,,D,VS1,1.0,1.96,61.6,57.0,Excellent,Excellent,Slightly Thick to Thick,Pointed,10.28,5.24,3.23,1090,IGI Lab-Grown,
Heart,,E,VVS1,1.01,1.14,62.7,60.0,Excellent,Very Good,Thick to Very Thick,,5.89,6.74,4.23,5220,GIA,
Oval,,G,VS2,1.0,1.33,64.4,54.0,Excellent,Good,Medium to Extremely Thick,,7.5,5.64,3.63,3920,GIA,
Marquise,,F,VS2,1.0,2.1,63.1,56.0,Excellent,Very Good,Slightly Thick to Very Thick,,10.77,5.12,3.23,5110,GIA,
Radiant,,E,VS1,1.01,1.09,72.4,67.0,Very Good,Very Good,Thick,,5.86,5.38,3.89,3620,GIA,Strong
Marquise,,E,VVS2,1.07,1.96,62.5,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.54,5.38,3.36,1250,IGI Lab-Grown,
Princess,Ideal,E,VS1,1.08,1.0,69.7,68.0,Excellent,Excellent,Medium,Pointed,5.68,5.68,3.96,1070,IGI Lab-Grown,
Round,Excellent,H,VS2,1.0,1.01,63.4,57.0,Excellent,Very Good,Medium to Slightly Thick,,6.3,6.36,4.01,3660,GIA,
Round,Excellent,H,VS2,1.05,1.0,61.8,58.0,Excellent,Excellent,Medium to Slightly Thick,,6.5,6.52,4.02,3820,GIA,
Radiant,,F,VVS2,1.02,1.43,67.9,66.0,Excellent,Excellent,Thin to Medium,Pointed,7.12,4.99,3.39,1260,IGI Lab-Grown,
Heart,,G,VS2,1.0,1.08,58.5,64.0,Excellent,Very Good,Slightly Thick to Very Thick,,6.28,6.8,3.98,3610,GIA,
Heart,,E,VS1,1.0,1.22,60.8,62.0,Excellent,Excellent,Slightly Thick to Very Thick,,5.7,6.95,4.23,4100,GIA,
Princess,Ideal,H,IF,1.0,1.0,72.7,70.0,Excellent,Very Good,Very Thick,,5.32,5.31,3.86,3350,GIA,
Oval,,E,VS2,1.01,1.38,59.5,61.0,Excellent,Excellent,Medium to Thick,,8.07,5.85,3.48,4810,GIA,Faint
Radiant,,G,VS1,1.0,1.25,67.7,63.0,Excellent,Very Good,Thick to Very Thick,,6.44,5.17,3.5,4020,GIA,
Heart,,G,VS1,1.01,1.18,59.4,61.0,Excellent,Excellent,Slightly Thick to Very Thick,,5.9,6.97,4.14,3590,GIA,Faint
Emerald,,H,VS1,1.0,1.35,70.6,66.0,Excellent,Excellent,Slightly Thick to Thick,,6.39,4.75,3.35,2490,GIA,Faint
Radiant,,E,VS1,1.05,1.4,67.6,66.0,Excellent,Excellent,Medium,Pointed,7.13,5.09,3.44,1040,IGI Lab-Grown,
Round,Very Good,H,VS1,1.01,1.01,64.7,55.0,Excellent,Very Good,Thick,,6.19,6.26,4.02,3750,GIA,
Marquise,,E,VS1,1.0,1.78,65.2,56.0,Excellent,Very Good,Medium to Very Thick,,9.33,5.25,3.42,4440,GIA,Faint
Emerald,,G,VS2,1.01,1.43,62.4,67.0,Very Good,Very Good,Slightly Thick to Thick,,7.01,4.9,3.06,2660,GIA,
Oval,,E,VS1,1.03,1.41,61.9,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.07,5.72,3.54,1010,IGI Lab-Grown,
Pear,,F,VS1,1.06,1.72,59.0,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.71,5.66,3.34,1050,IGI Lab-Grown,
Princess,Ideal,G,VVS1,1.01,1.0,72.5,70.0,Excellent,Excellent,Slightly Thick to Thick,,5.5,5.5,3.98,3450,GIA,
Princess,Ideal,G,VVS2,1.01,1.0,72.3,71.0,Excellent,Very Good,Medium to Thick,,5.48,5.48,3.96,3530,GIA,
Oval,,F,VS1,1.0,1.35,65.5,59.0,Excellent,Very Good,Thick to Very Thick,,7.42,5.49,3.6,3530,GIA,
Oval,,G,VS2,1.01,1.56,64.1,65.0,Excellent,Excellent,Slightly Thick to Very Thick,,8.34,5.33,3.42,4700,GIA,
Princess,Ideal,G,VVS1,1.02,1.01,71.3,71.0,Excellent,Very Good,Thick,,5.61,5.58,3.98,3400,GIA,
Heart,,G,VVS2,1.51,1.2,58.8,,,,,,,,,6390,GIA,Strong
Round,Ideal,E,VS1,1.56,1.01,60.9,58.0,Excellent,Excellent,Medium,Pointed,7.47,7.51,4.56,1830,IGI Lab-Grown,
Oval,,F,VS1,1.02,1.46,62.5,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.11,5.55,3.47,1020,IGI Lab-Grown,
Oval,,F,VS1,1.09,1.46,62.4,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.42,5.75,3.59,1050,IGI Lab-Grown,
Oval,,D,VS1,1.0,1.37,63.0,58.0,Excellent,Excellent,Medium to Thick,Pointed,7.81,5.7,3.59,1060,IGI Lab-Grown,
Princess,Very Good,G,VS1,1.01,1.02,76.6,67.0,Excellent,Very Good,Very Thick,,5.42,5.31,4.07,2850,GIA,
Round,Excellent,H,VVS2,1.01,1.0,62.2,58.0,Excellent,Excellent,Medium to Slightly Thick,,6.41,6.44,4.0,4070,GIA,Faint
Princess,Ideal,E,VS1,1.11,1.01,74.9,70.0,Excellent,Excellent,Medium,Pointed,5.54,5.5,4.12,1100,IGI Lab-Grown,
Heart,,D,VS1,1.14,1.17,56.7,64.0,Excellent,Excellent,Slightly Thick to Thick,,6.34,7.4,4.2,4630,GIA,Medium
Pear,,E,VS1,1.09,1.61,62.4,57.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.24,5.75,3.59,4630,IGI Lab-Grown,
Round,Ideal,E,VS1,1.58,1.0,62.0,57.0,Excellent,Excellent,Medium,Pointed,7.46,7.49,4.63,1840,IGI Lab-Grown,
Heart,,D,VS1,1.01,1.17,58.0,63.0,Very Good,Very Good,Slightly Thick to Very Thick,,6.0,7.02,4.07,5250,GIA,
Round,Ideal,D,VS1,1.56,1.0,61.9,56.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.43,7.45,4.61,1830,IGI Lab-Grown,
Emerald,,H,VS2,1.06,1.36,68.3,66.0,Excellent,Excellent,Slightly Thick to Very Thick,,6.62,4.88,3.34,2580,GIA,
Marquise,,D,VS2,1.01,1.98,62.8,58.0,Excellent,Very Good,Thin to Thick,,10.23,5.16,3.24,2580,GIA,Strong
Radiant,,D,VVS2,1.03,1.39,67.4,67.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.16,5.16,3.48,1290,IGI Lab-Grown,
Marquise,,D,VS1,1.3,2.02,61.6,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.45,5.68,3.5,1480,IGI Lab-Grown,
Marquise,,E,VS1,1.1,1.96,62.2,59.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.63,5.43,3.38,1100,IGI Lab-Grown,
Cushion,Ideal,D,VS1,1.52,1.01,68.9,58.5,Excellent,Excellent,Medium to Thick,Pointed,6.67,6.59,4.54,2070,IGI Lab-Grown,
Radiant,,G,VS1,1.0,1.36,59.6,69.0,Excellent,Very Good,Slightly Thick to Thick,,7.18,5.27,3.14,3520,GIA,
Pear,,F,VS2,1.06,1.55,62.4,58.0,Very Good,Very Good,Slightly Thick to Very Thick,,8.7,5.63,3.51,4900,GIA,Strong
Radiant,,H,VVS2,1.0,1.3,67.8,67.0,Excellent,Excellent,Slightly Thick to Thick,,6.63,5.1,3.46,2850,GIA,Medium
Pear,,E,VS2,1.02,1.73,60.6,60.0,Excellent,Excellent,Medium to Thick,,9.48,5.48,3.32,4620,GIA,
Princess,Ideal,G,VS1,1.05,1.0,72.2,71.0,Excellent,Excellent,Medium to Thick,,5.45,5.44,3.92,3450,GIA,
Pear,,F,VS1,1.08,1.6,63.3,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.01,5.62,3.56,1070,IGI Lab-Grown,
Princess,Ideal,G,VVS1,1.06,1.01,72.7,70.0,Excellent,Excellent,Medium to Slightly Thick,,5.58,5.53,4.02,3490,GIA,
Round,Excellent,H,VS2,1.0,1.01,61.8,61.0,Excellent,Excellent,Medium to Slightly Thick,,6.36,6.41,3.94,3940,GIA,
Pear,,E,VS1,1.05,1.62,62.1,60.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.15,5.65,3.51,1060,IGI Lab-Grown,
Radiant,,F,VS2,1.01,1.3,66.8,68.0,Excellent,Excellent,Slightly Thick to Thick,,6.74,5.18,3.46,4070,GIA,Faint
Pear,,D,VS1,1.0,1.51,63.6,57.0,Excellent,Excellent,Thick to Very Thick,,8.41,5.56,3.54,4120,GIA,Medium
Radiant,,H,VS2,1.01,1.27,68.6,64.0,Excellent,Excellent,Thick to Very Thick,,6.3,4.97,3.41,2740,GIA,
Oval,,F,VVS2,1.01,1.39,61.5,59.0,Excellent,Very Good,Medium to Thick,,7.86,5.67,3.48,4870,GIA,Faint
Princess,Ideal,G,VS1,1.01,1.01,73.9,71.0,Excellent,Very Good,Thick to Very Thick,,5.42,5.39,3.98,4040,GIA,
Pear,,H,VS1,1.0,1.51,63.3,62.0,Excellent,Excellent,Medium to Very Thick,,8.42,5.59,3.54,2970,GIA,Medium
Radiant,,E,VS1,1.09,1.42,66.6,62.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.24,5.09,3.39,1080,IGI Lab-Grown,
Pear,,F,VVS1,1.01,1.55,57.5,56.0,Very Good,Excellent,Thin to Thick,,8.86,5.7,3.28,4890,GIA,Medium
Marquise,,D,VS1,1.05,2.01,62.7,58.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.74,5.34,3.35,1150,IGI Lab-Grown,
Oval,,D,VS1,1.0,1.39,63.3,59.0,Excellent,Excellent,Slightly Thick to Very Thick,,7.77,5.59,3.54,4720,GIA,Faint
Round,Excellent,H,VS1,1.0,1.01,63.3,56.0,Excellent,Very Good,Medium to Slightly Thick,,6.29,6.37,4.01,3940,GIA,
Pear,,H,VS2,1.01,1.53,60.6,62.0,Very Good,Excellent,Slightly Thick to Thick,,8.74,5.73,3.47,3670,GIA,
Marquise,,D,VS1,1.04,1.96,64.5,61.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.32,5.27,3.4,1140,IGI Lab-Grown,
Marquise,,H,VS2,1.0,1.79,64.4,60.0,Excellent,Excellent,Thick to Very Thick,,9.42,5.26,3.38,4790,GIA,
Heart,,D,VS1,2.91,1.07,59.0,57.0,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.11,9.74,5.75,5270,IGI Lab-Grown,
